time(ms),accX(G),accY(G),accZ(G)
255.889,0.97998,0.00562,0.07471
256.808,0.9856,0.00562,0.07471
257.73,0.9856,0.00562,0.07471
258.649,0.99731,-0.00635,0.06348
259.568,0.99805,-0.0166,0.06299
260.494,0.99146,-0.0144,0.06714
261.413,0.99561,-0.0105,0.06958
262.331,0.98315,0.00024,0.07202
263.254,0.96973,0.00586,0.06885
264.173,0.96851,0.0061,0.06323
265.091,0.97168,0.00928,0.05542
266.01,0.97534,0.00122,0.05249
266.929,0.99048,-0.00342,0.04688
267.848,1.00049,-0.00952,0.05151
268.767,0.99268,-0.01465,0.0603
269.691,0.99146,-0.00781,0.06494
270.609,0.99146,-0.00781,0.06494
271.528,0.9834,0.00122,0.07788
272.454,0.9729,0.00684,0.08594
273.373,0.98169,0.00977,0.0813
274.291,0.99683,0.00732,0.0686
275.21,0.99951,-0.00098,0.06055
276.129,0.99561,-0.00781,0.04834
277.051,0.98413,-0.00171,0.04419
277.97,0.9729,0.00562,0.05347
278.889,0.97729,0.00415,0.05762
279.808,0.98071,0.00024,0.05981
280.73,0.98901,-0.00562,0.05762
281.649,0.99683,-0.00708,0.05493
282.568,0.99683,-0.00708,0.05493
283.494,0.98682,0.00024,0.05762
284.413,0.97827,0.00659,0.06299
285.331,0.97119,0.00342,0.06152
286.254,0.97729,-0.00366,0.05957
287.173,0.99658,-0.01001,0.05713
288.091,0.99072,-0.00635,0.05322
289.01,0.96948,0.00952,0.05591
289.929,0.96655,0.01685,0.05786
290.848,0.96533,0.01001,0.06006
291.767,0.96851,0.00195,0.05664
292.691,0.99072,-0.0127,0.05322
293.609,1.0022,-0.01538,0.0564
294.528,1.0022,-0.01538,0.0564
295.454,0.99219,-0.00073,0.06152
296.373,0.98218,0.00317,0.06543
297.291,0.96973,0.00171,0.07056
298.21,0.9729,-0.00195,0.06348
299.129,0.99536,-0.00488,0.05713
300.051,0.99854,-0.00439,0.07422
300.97,0.98413,-0.00708,0.07886
301.889,0.97339,-0.00171,0.06567
302.808,0.97461,0.00024,0.05737
303.73,0.98438,-0.00488,0.05591
304.649,0.97998,-0.00269,0.05835
305.568,0.9668,0.00439,0.05859
306.494,0.98169,0.00342,0.05615
307.413,0.98169,0.00342,0.05615
308.331,1.00244,-0.00537,0.05933
309.254,0.99854,-0.01172,0.05981
310.173,0.98804,-0.0144,0.05713
311.091,0.99365,-0.00415,0.05322
312.01,0.9873,0.00098,0.06006
312.929,0.9812,0.00537,0.07764
313.848,0.98267,0.01147,0.08228
314.767,0.97192,0.00977,0.07007
315.691,0.97583,0.01685,0.05884
316.609,0.98535,0.01074,0.052
317.528,0.97998,-0.00269,0.05249
318.454,0.98096,-0.00879,0.05322
319.373,0.98096,-0.00879,0.05322
320.291,0.99487,-0.01099,0.05444
321.21,0.99585,-0.00195,0.06738
322.129,0.99414,0.00366,0.06567
323.051,0.9834,0.0022,0.05786
323.97,0.96899,0.00806,0.05591
324.889,0.98486,0.00195,0.05811
325.808,0.9978,-0.01074,0.06738
326.73,0.98999,-0.0105,0.0647
327.649,0.98218,-0.01196,0.04907
328.568,0.97729,-0.00073,0.04639
329.494,0.97144,0.01172,0.06494
330.413,0.97021,0.01025,0.0708
331.331,0.97412,0.00586,0.06201
332.254,0.97412,0.00586,0.06201
333.173,0.99585,0.00195,0.05176
334.091,1.01367,-0.00098,0.05298
335.01,0.99341,-0.00562,0.06909
335.929,0.97217,-0.00146,0.06738
336.848,0.9729,-0.00342,0.06104
337.767,0.98584,-0.00439,0.06836
338.691,0.99878,-0.00073,0.07031
339.609,0.99414,-0.00562,0.06421
340.528,0.97583,0.00049,0.05981
341.454,0.97046,0.00464,0.05176
342.373,0.97949,-0.0022,0.05371
343.291,0.99048,-0.00732,0.06396
344.21,0.99048,-0.00732,0.06396
345.129,1.0022,-0.01074,0.06006
346.051,0.99585,-0.0083,0.04639
346.97,0.98608,-0.00122,0.05322
347.889,0.98242,0.01025,0.06787
348.808,0.9812,0.00806,0.06909
349.73,0.98755,-0.00439,0.06689
350.649,0.99634,-0.01074,0.06226
351.568,0.99731,-0.01221,0.06299
352.494,0.97803,-0.00537,0.06738
353.413,0.96094,0.00439,0.06787
354.331,0.96655,0.00513,0.06226
355.254,0.98438,0.00244,0.05688
356.173,0.98438,0.00244,0.05688
357.091,0.9939,0.00244,0.05542
358.01,0.99487,0.00537,0.05615
358.929,0.99341,0.00513,0.05884
359.848,0.98242,-0.0061,0.06177
360.767,0.97681,-0.0061,0.06299
361.691,0.98291,-0.00562,0.06177
362.609,0.98486,-0.00586,0.06738
363.528,0.98975,-0.00024,0.07031
364.454,0.98779,-0.00146,0.073
365.373,0.96826,0.00415,0.07178
366.291,0.96362,0.00195,0.06152
367.21,0.97925,0.00122,0.05396
368.129,0.9895,0.00317,0.04565
369.051,0.9895,0.00317,0.04565
369.97,0.99048,-0.00195,0.05029
370.889,0.9873,0.00317,0.04883
371.808,0.98999,0.00244,0.05005
372.73,0.99585,0.00122,0.06226
373.649,0.98511,0.00317,0.06592
374.568,0.97314,-0.00146,0.06421
375.494,0.97632,-0.00146,0.06128
376.413,1.00049,-0.00098,0.05884
